step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,-1,25
3,nan,nan,nan,nan,-1,25
4,nan,nan,nan,nan,-1,25
5,nan,nan,nan,nan,-1,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,25,50
10,nan,nan,nan,nan,0,50
11,59.650635,1.5288811,0.0,0.4452285,0,50
12,119.201,2.6528459,0.15625,0.49758056,-1,50
13,70.13052,1.6993525,0.125,0.5138531,-1,50
14,9.979887,0.53554326,0.125,0.4732095,-1,50
15,39.006203,1.1187142,0.1875,0.49092484,-1,50
16,10.109042,0.5702304,0.125,0.5043709,0,50
17,48.68256,1.2997773,0.125,0.5109675,-1,50
18,58.854176,1.4846932,0.09375,0.5103433,-1,50
19,29.514431,0.9192802,0.125,0.48716837,-1,50
20,38.520645,1.1150998,0.3125,0.4671862,-1,50
21,28.99054,0.92037034,0.40625,0.47415882,-1,50
22,57.535137,1.4714391,0.375,0.5152122,-1,50
23,38.270298,1.0964868,0.25,0.5069272,-1,50
24,29.172483,0.91236484,0.15625,0.5108181,-1,50
25,29.139984,0.92396426,0.28125,0.5161795,-1,50
26,29.077208,0.9258442,0.15625,0.53658736,-1,50
27,0.3962074,0.36630076,0.21875,0.5060303,-1,50
28,47.317585,1.2833115,0.28125,0.54117554,0,0
29,19.229208,0.73544306,0.15625,0.54305047,25,25
30,47.820427,1.3333328,0.1875,0.5469225,-1,25
31,19.111233,0.77415204,0.0625,0.57531375,-1,25
32,28.857243,0.95716625,0.125,0.5771558,-1,25
33,28.827993,0.9507783,0.125,0.5905875,-1,25
34,28.814886,0.95655674,0.1875,0.6130444,-1,25
35,28.77079,0.95826584,0.1875,0.6197835,-1,25
36,28.169746,0.95335364,0.1875,0.6406965,-1,25
37,18.904745,0.76355237,0.1875,0.64239734,25,50
38,37.373817,1.1155468,0.28125,0.6669074,-1,50
39,28.204247,0.94754624,0.21875,0.6664677,-1,50
40,37.34672,1.1128528,0.15625,0.70573294,-1,50
41,37.389736,1.1269696,0.25,0.6840955,-1,50
42,28.115194,0.94474834,0.15625,0.71999943,-1,50
43,37.920357,1.1336762,0.1875,0.73309344,0,50
44,19.204136,0.7644557,0.09375,0.75084543,0,50
45,19.171537,0.75447524,0.09375,0.7297416,0,50
46,28.410194,0.91703945,0.15625,0.76975906,0,50
47,28.650944,0.9349668,0.125,0.7803849,-1,50
48,37.77691,1.0977707,0.15625,0.7585479,-1,50
49,18.923111,0.73184544,0.125,0.77879155,-1,50
50,9.67187,0.5524087,0.0625,0.75861776,-1,50
51,28.606606,0.908838,0.15625,0.7537297,-1,50
52,19.114933,0.7339008,0.09375,0.74738806,-1,50
53,19.058826,0.72098064,0.125,0.7479775,-1,50
