step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,0,0
10,nan,nan,nan,nan,0,0
11,0.22729854,0.2770656,0.46875,0.45976436,0,0
12,0.1930441,0.2810097,0.4375,0.39528805,0,0
13,0.12897123,0.24925888,0.40625,0.38274416,-1,0
14,0.2063117,0.28545386,0.15625,0.41214204,0,0
15,0.21430314,0.28886223,0.375,0.40587723,0,0
16,0.19052747,0.272749,0.5,0.41319072,0,0
17,0.113262914,0.24618968,0.65625,0.39879125,0,0
18,0.1459623,0.26685798,0.59375,0.40470746,0,0
19,0.21820703,0.3073541,0.4375,0.38919672,0,0
20,0.1653465,0.26157525,0.6875,0.42087543,0,0
21,0.16115652,0.27757955,0.625,0.41459566,0,0
22,0.1343753,0.25149298,0.59375,0.44943857,0,0
23,0.14718482,0.23956326,0.8125,0.46492243,0,0
24,0.07415299,0.21559092,0.65625,0.4535068,0,0
25,0.13150138,0.23477648,0.6875,0.47936314,0,0
26,0.11392762,0.2504899,0.40625,0.4341578,0,0
27,0.034051467,0.19215666,0.6875,0.467937,0,0
28,0.07152772,0.22036915,0.53125,0.46141398,0,0
29,0.09300236,0.23077102,0.59375,0.44040468,-1,0
30,0.15642595,0.2822733,0.46875,0.44607455,0,0
31,0.21291402,0.2907526,0.40625,0.46489662,-1,0
32,0.15954758,0.27476653,0.5,0.4441078,-1,0
33,0.15659463,0.27113134,0.46875,0.43659404,-1,0
34,0.1586445,0.2778182,0.4375,0.43086106,-1,0
35,0.1994289,0.29823384,0.34375,0.42025748,-1,0
36,0.17205417,0.28151286,0.375,0.41600874,0,0
37,0.13089865,0.26212102,0.375,0.41163808,0,0
38,0.17048198,0.27851656,0.375,0.4148174,0,0
39,0.1376832,0.27167726,0.34375,0.42201975,0,0
40,0.1568903,0.27788705,0.34375,0.4349766,0,0
41,0.15173744,0.27330628,0.34375,0.44265598,0,0
42,0.11572268,0.25871384,0.4375,0.44291988,0,0
43,0.11433678,0.26563346,0.4375,0.4372093,0,0
44,0.09321113,0.24473274,0.53125,0.45399165,0,0
45,0.112007566,0.25859994,0.40625,0.46799508,0,0
46,0.07881428,0.22586612,0.53125,0.4605,0,0
47,0.0815528,0.24339679,0.5,0.44178465,-1,0
48,0.10152064,0.26377618,0.4375,0.448855,-1,0
49,0.13468088,0.27466094,0.40625,0.45394206,0,0
50,0.10191873,0.273858,0.34375,0.4417979,-1,0
51,0.11248299,0.2548941,0.46875,0.42778018,-1,0
52,0.14621887,0.28125528,0.40625,0.43377137,-1,0
53,0.12598032,0.269287,0.34375,0.4412383,-1,0
54,0.12809461,0.2494181,0.53125,0.44926926,-1,0
55,0.15957311,0.28882104,0.28125,0.4515043,-1,0
56,0.12916596,0.26785982,0.4375,0.49728745,0,0
57,0.13585845,0.2623186,0.5,0.51859206,0,0
58,0.16219285,0.28175712,0.4375,0.58186287,0,0
59,0.1105614,0.23434594,0.59375,0.6021106,0,0
60,0.15571037,0.28779742,0.375,0.5850577,0,0
61,0.114172794,0.26827258,0.46875,0.60942173,0,0
62,0.119032755,0.26260334,0.4375,0.59669125,0,0
63,0.121843055,0.26150256,0.46875,0.6047561,0,0
64,0.10472832,0.23977286,0.59375,0.62710255,0,0
65,0.10627214,0.25202516,0.5,0.61956096,0,0
66,0.09788708,0.25469816,0.53125,0.60326004,0,0
