step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,-1,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,0,0
10,nan,nan,nan,nan,-1,0
11,0.3986807,0.3344193,0.15625,0.51382446,-1,0
12,0.31778568,0.32570577,0.21875,0.4219182,-1,0
13,0.37086397,0.35264686,0.75,0.35750368,-1,0
14,0.41102237,0.38789725,0.71875,0.40523255,-1,0
15,0.45280877,0.40459597,0.59375,0.44005108,-1,0
16,0.39381093,0.4027933,0.65625,0.4646034,50,50
17,39.192287,0.78414035,0.375,0.46903294,-1,50
18,39.156067,0.79106414,0.5,0.49114656,-1,50
19,77.73804,1.1647085,0.5625,0.52207994,-1,50
20,38.992092,0.80492675,0.84375,0.5280695,-1,50
21,77.45553,1.159311,0.5,0.6003796,-1,50
22,39.09855,0.79836214,0.46875,0.696172,-1,50
23,0.50885814,0.39360166,0.40625,0.66254926,-1,50
24,0.5536669,0.39810485,0.40625,0.6863466,-1,50
25,153.77238,1.9097931,0.53125,0.7312559,-1,50
26,39.044254,0.78843474,0.375,0.80904275,-1,50
27,38.956966,0.78978765,0.5,0.81860244,-1,50
28,0.6773292,0.4135088,0.46875,0.81605077,0,0
29,77.351204,1.1342995,0.3125,0.8120924,0,0
30,0.61633795,0.39651516,0.5,0.8051996,-1,0
31,77.204414,1.1564225,0.46875,0.86959994,-1,0
32,38.950615,0.76343286,0.40625,0.8319076,-1,0
33,38.922276,0.7624471,0.4375,0.83470815,-1,0
34,38.95386,0.76275915,0.40625,0.8326199,-1,0
35,38.96257,0.7568004,0.375,0.84123254,-1,0
36,38.92918,0.75842917,0.40625,0.8386922,-1,0
37,0.7259716,0.38294268,0.34375,0.84139025,-1,0
38,38.969685,0.75193846,0.375,0.8533107,-1,0
39,0.8070257,0.39474094,0.25,0.8644014,-1,0
40,39.083412,0.75984764,0.3125,0.86154854,-1,0
41,0.7722284,0.38080066,0.21875,0.84117866,25,25
42,48.373077,0.93174106,0.4375,0.84102476,-1,25
43,10.200928,0.56567496,0.25,0.83629835,-1,25
44,48.52102,0.93076694,0.34375,0.8446232,-1,25
45,48.49328,0.9301893,0.375,0.8315215,-1,25
46,48.59459,0.93812793,0.21875,0.82717645,-1,25
47,39.05423,0.7454636,0.34375,0.8275255,-1,25
48,39.183674,0.753173,0.21875,0.8426614,25,50
49,57.89288,1.1035249,0.34375,0.81537175,-1,50
50,10.026992,0.5577772,0.3125,0.84661746,-1,50
51,10.075673,0.55203867,0.25,0.8209377,-1,50
52,48.46506,0.93247,0.375,0.82703847,-1,50
53,48.416637,0.9140628,0.40625,0.81158733,-1,50
54,48.536987,0.9219601,0.34375,0.81469697,-1,50
55,19.56976,0.72506917,0.34375,0.8071887,-1,50
56,10.109096,0.55093575,0.3125,0.81723773,0,50
57,0.61252344,0.35798615,0.34375,0.80641633,0,0
58,58.124977,1.09958,0.375,0.81548405,0,0
59,39.15671,0.7318293,0.40625,0.76898,-1,0
60,67.65518,1.2782733,0.4375,0.78150123,-1,0
61,58.17859,1.0976694,0.375,0.82196254,-1,0
62,96.72605,1.4649177,0.34375,0.81366944,-1,0
63,48.57643,0.9059196,0.34375,0.8257122,-1,0
64,48.715767,0.915957,0.34375,0.80067223,-1,0
65,9.995082,0.5363463,0.3125,0.8200599,-1,0
66,0.63038635,0.33647022,0.28125,0.82324743,-1,0
67,48.618378,0.8986824,0.40625,0.86596286,-1,0
