step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,-1,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,25,25
9,nan,nan,nan,nan,-1,25
10,nan,nan,nan,nan,-1,25
11,10.241696,0.56955373,0.09375,0.4119431,-1,25
12,10.242194,0.6025506,0.0625,0.31966865,-1,25
13,10.158895,0.6217677,0.53125,0.36048165,-1,25
14,38.68891,1.1695466,0.71875,0.42064986,-1,25
15,38.116894,1.1629286,0.75,0.4426644,25,50
16,48.38492,1.3679638,0.625,0.5158428,25,75
17,57.73874,1.546816,0.625,0.63429385,-1,75
18,56.79754,1.5239456,0.78125,0.6354021,-1,75
19,75.251686,1.8812566,0.65625,0.6592523,-1,75
20,77.18792,1.9196094,0.53125,0.6523954,-1,75
21,48.270245,1.3645993,0.71875,0.7071747,-1,75
22,57.48677,1.5215586,0.59375,0.69406986,-1,75
23,47.06304,1.3431096,0.6875,0.7672523,-1,75
24,29.447437,0.9919267,0.53125,0.72474563,-1,75
25,66.05937,1.7020445,0.625,0.77383137,-1,75
26,19.056667,0.793944,0.53125,0.77681345,-1,75
27,75.804985,1.8755839,0.625,0.7805939,-1,75
28,20.36247,0.82259786,0.46875,0.73186064,0,0
29,56.8611,1.5253303,0.625,0.7582705,-1,0
30,56.874695,1.5235121,0.65625,0.7709937,0,0
31,20.28102,0.8183888,0.5,0.7030064,-1,0
32,28.660172,0.96260345,0.59375,0.67719305,-1,0
33,28.649946,0.9643781,0.5625,0.6701311,-1,0
34,19.578459,0.784714,0.53125,0.6354637,-1,0
35,28.796484,0.95661,0.53125,0.6418108,-1,0
36,19.402374,0.7748995,0.53125,0.63484395,-1,0
37,19.120815,0.7748338,0.5,0.63264936,-1,0
38,38.009285,1.1283035,0.5625,0.6352074,0,0
39,9.734891,0.5770544,0.46875,0.61730105,-1,0
40,28.681866,0.94866997,0.59375,0.63704115,0,0
41,28.674793,0.9405954,0.53125,0.6339454,0,0
42,28.631207,0.9166899,0.40625,0.6306014,-1,0
43,19.07081,0.73829174,0.375,0.64007133,0,0
44,28.663857,0.9318741,0.4375,0.64198834,0,0
45,19.258614,0.7436161,0.5625,0.66241705,-1,0
46,19.317364,0.7446154,0.4375,0.64973795,-1,0
47,19.302559,0.75529885,0.5625,0.68013394,-1,0
48,28.602755,0.9175546,0.53125,0.65631807,-1,0
49,19.04845,0.7326037,0.46875,0.65975136,-1,0
50,19.25041,0.7335187,0.4375,0.6918627,-1,0
51,28.64615,0.9283636,0.625,0.6996022,-1,0
52,19.161718,0.72819585,0.40625,0.69751203,-1,0
53,9.868463,0.5580075,0.4375,0.6940961,-1,0
54,19.102856,0.7315624,0.4375,0.6923435,-1,0
55,19.310501,0.7414099,0.375,0.7158364,-1,0
56,0.35478437,0.3691836,0.46875,0.70700085,0,0
57,19.226606,0.74449706,0.4375,0.69977295,25,25
58,19.80035,0.7461953,0.375,0.7108694,0,25
59,38.493347,1.1015142,0.34375,0.7295478,0,25
60,19.74051,0.7465536,0.375,0.7229033,0,25
61,28.857712,0.9127086,0.375,0.7400103,-1,25
62,0.3601271,0.37103546,0.34375,0.71400404,-1,25
63,9.890964,0.5579842,0.34375,0.7240834,-1,25
64,10.007698,0.568722,0.34375,0.7043341,-1,25
65,9.73441,0.5619532,0.46875,0.7732364,25,50
66,9.907187,0.5626127,0.4375,0.7522056,-1,50
67,28.750189,0.9202547,0.375,0.748795,-1,50
