step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,-1,0
2,nan,nan,nan,nan,-1,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,25,25
9,nan,nan,nan,nan,25,50
10,nan,nan,nan,nan,0,50
11,78.06276,1.0438833,0.46875,0.8322593,-1,50
12,19.366806,0.6681128,0.46875,0.8816457,-1,50
13,9.82185,0.48303148,0.4375,0.84042466,-1,50
14,19.669125,0.6516187,0.5,0.81348485,-1,50
15,9.861614,0.45705152,0.5,0.83309555,0,50
16,19.686861,0.64820445,0.5,0.7850162,-1,50
17,9.852515,0.4907977,0.375,0.7495611,-1,50
18,19.101347,0.69876,0.46875,0.7972255,-1,50
19,48.862724,0.876374,0.4375,0.8649701,-1,50
20,19.24985,0.69182134,0.53125,0.82172656,-1,50
21,9.775646,0.47799483,0.53125,0.7679027,-1,50
22,0.17366028,0.30510306,0.40625,0.7896172,-1,50
23,10.012766,0.5120106,0.28125,0.77954364,-1,50
24,29.714268,0.8811527,0.40625,0.8159432,-1,50
25,9.571078,0.4943477,0.34375,0.7715769,-1,50
26,9.882444,0.45559403,0.53125,0.79543793,-1,50
27,9.913911,0.47675788,0.5,0.74783313,-1,50
28,39.135124,0.6724553,0.5,0.8420508,0,0
29,87.549065,1.2792645,0.46875,0.84729594,0,0
30,9.935733,0.509192,0.3125,0.79997957,0,0
31,9.8366995,0.50805557,0.4375,0.78023857,0,0
32,0.18865228,0.31196064,0.40625,0.76663625,0,0
33,28.629478,0.8150741,0.53125,0.85353446,0,0
34,0.13279192,0.26914132,0.65625,0.8388042,-1,0
35,19.109518,0.66843474,0.5,0.83879673,0,0
36,48.782593,0.8667921,0.34375,0.79794335,-1,0
37,135.35382,1.8100365,0.59375,0.85489005,0,0
38,58.411343,1.0475519,0.5625,0.7864412,0,0
39,19.574045,0.6773628,0.34375,0.7933936,-1,0
40,10.562559,0.50526786,0.40625,0.7826209,-1,0
41,0.11012334,0.2990429,0.4375,0.7653012,-1,0
