step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,0,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,0.3653446,0.3335947,0.3125,0.51620734,-1,0
12,0.25426227,0.31603858,0.53125,0.41576946,-1,0
13,0.34041458,0.36435047,0.34375,0.3413617,-1,0
14,0.40367347,0.398331,0.125,0.34681943,-1,0
15,0.4021368,0.42038193,0.03125,0.38207018,-1,0
16,0.3669435,0.39321804,0.0,0.387771,-1,0
17,0.38590094,0.4153331,0.0625,0.3743189,-1,0
18,0.4197847,0.42227733,0.4375,0.37838653,-1,0
19,0.44592518,0.42422774,0.4375,0.40947443,-1,0
20,0.4120828,0.42342332,0.6875,0.429874,25,25
21,0.3989119,0.4023149,0.40625,0.43031108,-1,25
22,9.8973,0.59964484,0.625,0.46431923,-1,25
23,0.40021798,0.43158114,0.6875,0.4808668,-1,25
24,0.4484141,0.39475417,0.34375,0.50746393,-1,25
25,9.869826,0.58717144,0.4375,0.5290729,-1,25
26,0.3705105,0.41878548,0.5625,0.5244063,-1,25
27,19.216959,0.7751231,0.59375,0.5844481,-1,25
28,0.4978664,0.41773725,0.5,0.6344565,0,0
29,19.245861,0.7689408,0.53125,0.69101894,0,0
30,0.4953033,0.4192661,0.59375,0.69076276,0,0
31,9.705206,0.5753404,0.84375,0.7064184,-1,0
32,9.811777,0.582455,0.59375,0.6924859,-1,0
33,19.061958,0.7590233,0.625,0.6987463,0,0
34,9.767535,0.57947314,0.625,0.71391135,-1,0
35,9.784951,0.5833941,0.625,0.7229861,-1,0
36,9.755343,0.57641697,0.59375,0.7032024,-1,0
37,9.850737,0.58606815,0.5,0.7282978,-1,0
38,9.82217,0.59759134,0.5,0.727288,-1,0
39,9.756083,0.5768243,0.53125,0.72440314,-1,0
40,0.5371165,0.40925246,0.53125,0.7151577,-1,0
41,9.726792,0.5672096,0.53125,0.68324786,-1,0
42,9.730816,0.57044345,0.53125,0.694172,0,0
43,9.739167,0.5817924,0.46875,0.65060854,-1,0
44,9.80689,0.587071,0.34375,0.66291165,-1,0
45,9.74515,0.5650851,0.4375,0.6505037,-1,0
46,9.797735,0.5711876,0.28125,0.6466582,-1,0
47,9.638482,0.5613988,0.40625,0.600893,-1,0
48,9.736148,0.57215655,0.3125,0.62252134,50,50
49,48.28329,0.93852097,0.375,0.6429274,-1,50
50,77.36895,1.1353512,0.4375,0.65479285,-1,50
51,48.17359,0.94748235,0.375,0.7027815,-1,50
52,9.661509,0.56161314,0.4375,0.6619736,-1,50
53,47.967667,0.9341251,0.375,0.71502954,-1,50
54,47.898125,0.93229306,0.3125,0.7182511,-1,50
55,9.89962,0.57659525,0.25,0.7263123,-1,50
56,47.81152,0.9327215,0.375,0.7325804,0,0
57,10.035154,0.56585467,0.28125,0.7694168,0,0
58,0.6243523,0.3920273,0.28125,0.7412186,0,0
59,9.829312,0.5397661,0.40625,0.72410023,0,0
60,48.048607,0.9326387,0.34375,0.7635566,0,0
61,9.846178,0.5394335,0.375,0.75509644,0,0
62,9.933276,0.5377615,0.40625,0.7819769,0,0
63,38.564606,0.731187,0.34375,0.7288052,0,0
64,0.5198227,0.3489962,0.34375,0.74259806,0,0
65,9.937674,0.5435191,0.3125,0.71671116,0,0
66,9.815181,0.5110799,0.375,0.6926654,0,0
67,9.90929,0.53326845,0.40625,0.7079221,0,0
