step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,0,25
3,nan,nan,nan,nan,0,25
4,nan,nan,nan,nan,0,25
5,nan,nan,nan,nan,0,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,0,25
10,nan,nan,nan,nan,25,50
11,18.885622,0.63723195,0.5625,0.62586045,-1,50
12,47.314445,1.2206974,0.34375,0.6709051,-1,50
13,47.927235,1.214671,0.59375,0.6432383,-1,50
14,38.32348,1.0308998,0.46875,0.6294433,-1,50
15,18.725327,0.619592,0.5,0.6113695,-1,50
16,19.430124,0.66553104,0.375,0.5788915,-1,50
17,0.18406168,0.27310485,0.5625,0.5913055,-1,50
18,19.514593,0.6559647,0.46875,0.6221107,0,50
19,37.907967,1.065137,0.4375,0.5326754,-1,50
20,19.331478,0.68947566,0.4375,0.58556217,-1,50
21,28.922451,0.8349102,0.40625,0.6105793,-1,50
22,47.308372,1.2031841,0.5625,0.643051,-1,50
23,19.084759,0.6545385,0.46875,0.5678324,-1,50
24,28.822342,0.8172786,0.5,0.61939645,-1,50
25,28.492811,0.8839985,0.3125,0.62815684,-1,50
26,29.94248,0.88376606,0.21875,0.6064053,-1,50
27,38.54535,1.032206,0.46875,0.59709954,-1,50
28,104.53444,1.9385407,0.59375,0.6120121,0,0
29,0.26023635,0.31220466,0.375,0.54482234,-1,0
30,18.7043,0.64289033,0.53125,0.55387115,-1,0
31,9.939568,0.44273582,0.625,0.5975293,-1,0
32,19.32942,0.6878146,0.4375,0.5526433,-1,0
33,19.483551,0.6565014,0.46875,0.5754876,25,25
34,9.746897,0.50231916,0.34375,0.5373026,0,25
35,19.475866,0.6509621,0.40625,0.6129228,-1,25
36,19.21971,0.66243297,0.375,0.6385133,-1,25
37,19.5079,0.66367835,0.40625,0.5435094,-1,25
38,38.68706,0.6186662,0.59375,0.5607988,-1,25
39,18.899075,0.6595781,0.5,0.55383444,-1,25
40,67.67063,1.6140987,0.5625,0.6471242,25,50
41,29.2327,0.83569014,0.375,0.58313155,-1,50
42,28.674465,0.79635924,0.59375,0.6062433,-1,50
43,57.91839,1.0823126,0.375,0.56078506,-1,50
44,9.519209,0.46142408,0.53125,0.5344401,-1,50
45,19.388887,0.6347179,0.46875,0.60037947,-1,50
46,57.847073,1.4314646,0.4375,0.56894904,-1,50
47,9.5742035,0.46706825,0.65625,0.5486424,-1,50
48,9.773717,0.52236146,0.46875,0.4531003,0,50
49,47.916027,1.2581452,0.40625,0.6354202,-1,50
50,47.454567,1.1889343,0.46875,0.7007479,-1,50
51,37.889023,1.0217218,0.5,0.64615023,-1,50
52,28.52989,0.83700335,0.46875,0.52886844,-1,50
53,19.469318,0.65098065,0.375,0.6257559,-1,50
