step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,0,25
3,nan,nan,nan,nan,0,25
4,nan,nan,nan,nan,0,25
5,nan,nan,nan,nan,0,25
6,nan,nan,nan,nan,0,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,25,50
10,nan,nan,nan,nan,0,50
11,9.705039,0.4617441,0.46875,0.5742209,0,50
12,19.281633,0.61960447,0.46875,0.705159,0,50
13,47.32431,1.226444,0.53125,0.5985667,0,50
14,38.028877,1.0080881,0.75,0.55923116,0,50
15,47.806644,1.2031772,0.625,0.659964,0,50
16,66.30379,1.5753387,0.71875,0.69716233,50,100
17,67.52701,1.239858,0.59375,0.64757407,-1,100
18,38.037224,1.0359135,0.5625,0.6149399,-1,100
19,19.09679,0.6978352,0.5625,0.5436173,-1,100
20,28.50381,0.8424634,0.53125,0.6311417,-1,100
21,9.694094,0.4663115,0.46875,0.64488703,-1,100
22,9.705051,0.4683562,0.5,0.6037073,-1,100
23,37.92485,1.034676,0.59375,0.68284523,-1,100
24,28.631588,0.84230006,0.5625,0.6471714,-1,100
25,37.99664,1.0095584,0.5,0.65052605,-1,100
26,28.469921,0.85434955,0.53125,0.63223326,-1,100
27,19.49551,0.6726699,0.5625,0.6091137,-1,100
28,9.497726,0.4517927,0.59375,0.62728226,0,0
29,18.935995,0.64931405,0.28125,0.6156038,-1,0
30,75.366844,1.7362264,0.6875,0.7405887,0,0
31,38.198795,1.0414783,0.53125,0.65512085,0,0
32,29.530128,0.83401906,0.5625,0.6807008,0,0
33,28.54576,0.8580215,0.53125,0.63379014,0,0
34,19.030155,0.66893303,0.4375,0.6691333,0,0
35,9.72627,0.46216616,0.625,0.6430413,0,0
36,38.69334,1.0384336,0.375,0.6935125,0,0
37,47.506683,1.2449865,0.5625,0.6178969,0,0
38,19.040657,0.67078114,0.375,0.65659547,0,0
39,57.96525,1.044622,0.40625,0.6505693,0,0
40,28.810616,0.84189516,0.5625,0.59317446,0,0
41,76.65154,1.3748422,0.46875,0.6896362,0,0
42,19.006723,0.6442576,0.46875,0.65383387,-1,0
43,37.907677,1.0161775,0.5,0.6217475,-1,0
44,9.829047,0.53509915,0.4375,0.5475629,0,0
45,37.8351,1.0304859,0.40625,0.6277977,-1,0
46,9.536745,0.46588835,0.5625,0.58332694,-1,0
47,9.729587,0.4635386,0.5625,0.60243756,-1,0
48,28.327562,0.8665398,0.40625,0.610871,-1,0
49,38.065964,1.0236253,0.5,0.6569414,-1,0
50,47.412212,1.1652133,0.6875,0.6934366,-1,0
51,37.91813,0.99082375,0.5625,0.72744036,-1,0
52,29.752918,0.87874764,0.3125,0.7201868,-1,0
53,28.668108,0.80896693,0.5,0.64891875,-1,0
54,56.636826,1.4425603,0.375,0.6620594,-1,0
