step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,75
1,nan,nan,nan,nan,0,75
2,nan,nan,nan,nan,-1,75
3,nan,nan,nan,nan,-1,75
4,nan,nan,nan,nan,0,0
5,nan,nan,nan,nan,25,25
6,nan,nan,nan,nan,0,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,-1,25
10,nan,nan,nan,nan,-1,25
11,9.807656,0.50391865,0.25,0.64328396,-1,25
12,48.600048,0.9173456,0.28125,0.54200745,-1,25
13,68.35707,1.289809,0.25,0.5898472,25,50
14,0.24121791,0.32149667,0.21875,0.5522839,-1,50
15,19.455643,0.7061603,0.21875,0.61825573,-1,50
16,28.630215,0.8801458,0.4375,0.6618488,-1,50
17,19.267687,0.6966893,0.21875,0.63501453,-1,50
18,9.976979,0.5100163,0.34375,0.6428555,-1,50
19,9.91133,0.52515113,0.375,0.60715646,-1,50
20,19.71911,0.7322046,0.28125,0.6411028,25,75
21,19.157692,0.7088932,0.375,0.579124,-1,75
22,47.57744,0.9097551,0.28125,0.6569569,-1,75
23,19.381998,0.7070552,0.28125,0.6355199,-1,75
24,9.466475,0.52829945,0.34375,0.63343227,-1,75
25,0.2744,0.35997367,0.34375,0.6990201,-1,75
26,19.32192,0.66611433,0.375,0.6172686,-1,75
27,19.709282,0.7236408,0.375,0.6335149,-1,75
28,58.092594,1.0958288,0.21875,0.6526441,0,0
29,19.45284,0.6804246,0.25,0.6624579,0,0
30,39.022724,0.7507597,0.375,0.5710149,0,0
31,9.551669,0.4853,0.40625,0.6468761,0,0
32,9.852127,0.5608592,0.21875,0.5731888,-1,0
33,57.582634,1.0866697,0.375,0.58491886,25,25
34,38.553764,0.72865146,0.25,0.6339614,-1,25
35,9.814999,0.5378101,0.25,0.609514,-1,25
36,68.67452,1.2783666,0.375,0.6866806,-1,25
37,0.37456405,0.37011623,0.21875,0.61258674,-1,25
38,9.7648115,0.5232404,0.25,0.6286019,-1,25
39,9.448436,0.5105441,0.25,0.6406034,-1,25
40,18.864407,0.7054068,0.375,0.641783,-1,25
41,66.897194,1.2912123,0.28125,0.60408664,-1,25
42,9.462328,0.51284516,0.28125,0.6036316,-1,25
43,38.557194,0.6932214,0.34375,0.7123442,-1,25
44,48.5602,0.91599905,0.25,0.60105133,25,50
45,9.99919,0.5328356,0.40625,0.63898355,0,50
